valid_acc_class_hateful,valid_acc_class_abusive,current_epoch,valid_loss,valid_acc,valid_f_score_hateful,valid_f_score_abusive,valid_f_score_normal,valid_f_score_spam,valid_loss_class_hateful,valid_loss_class_abusive,valid_acc_class_normal,valid_loss_class_normal,valid_acc_class_spam,valid_loss_class_spam,test_loss,test_acc,test_f_score_hateful,test_f_score_abusive,test_f_score_normal,test_f_score_spam,test_acc_class_hateful,test_loss_class_hateful,test_acc_class_abusive,test_loss_class_abusive,test_acc_class_normal,test_loss_class_normal,test_acc_class_spam,test_loss_class_spam,train_loss,train_acc,train_f_score_hateful,train_f_score_abusive,train_f_score_normal,train_f_score_spam,train_acc_class_hateful,train_loss_class_hateful,train_acc_class_abusive,train_loss_class_abusive,train_acc_class_normal,train_loss_class_normal,train_acc_class_spam,train_loss_class_spam,embedding,embedding_level,seed
0.122,0.652,68,0.5757,0.781,0.2061,0.7181,0.7954,0.3021,2.3695,0.8926,0.9716,0.263,0.1981,1.3008,0.5867,0.7809,0.1302,0.7251,0.8436,0.2633,0.0828,2.4773,0.6694,0.8556,0.9713,0.2629,0.1809,1.3532,0.5348,0.7924,0.153,0.7164,0.8428,0.3269,0.0887,2.2305,0.6525,0.8681,0.9781,0.2478,0.2257,1.1879,NA,word,28
0.1247,0.6624,59,0.576,0.7817,0.2003,0.7227,0.821,0.296,2.2889,0.8896,0.9714,0.2642,0.2067,1.2984,0.5859,0.7809,0.1415,0.7215,0.8278,0.2694,0.0729,2.46,0.6618,0.852,0.9712,0.2634,0.1855,1.35,0.5358,0.7919,0.1581,0.7123,0.8368,0.3242,0.0861,2.2345,0.6428,0.8804,0.9784,0.2471,0.226,1.1857,NA,word,26
0.1122,0.6618,71,0.5757,0.781,0.1959,0.7159,0.8187,0.3035,2.387,0.8832,0.9721,0.263,0.2074,1.2923,0.5863,0.7803,0.1367,0.7224,0.8334,0.2609,0.078,2.4712,0.6631,0.8554,0.9712,0.2622,0.1792,1.3537,0.5347,0.7925,0.1688,0.7206,0.8291,0.3339,0.0885,2.2109,0.6562,0.8602,0.9783,0.2478,0.2271,1.1866,NA,word,27
0.8918,0.6583,0.084,0.2238,1.1926,2.2128,0.7274,0.7198,0.2638,0.1507,2.3184,word,0.2587,0.1694,0.1186,79,0.971,0.2906,0.2467,0.5351,0.7807,0.859,0.8501,0.1781,2.4613,0.1984,NA,0.5764,26,0.9787,0.6661,0.8219,1.3108,0.3272,0.9719,0.7261,0.8278,1.3609,0.5868,0.6577,0.1952,0.7924,0.7805,0.0983,0.2636,0.8319
word,0.084,0.971,0.5764,1.3609,0.2636,0.1694,0.7198,0.2587,79,0.3272,0.9787,2.4613,1.3108,0.859,0.7274,0.8501,0.1507,0.9719,2.3184,1.1926,0.6583,0.1186,NA,0.5868,0.2238,2.2128,0.6661,0.8219,0.1952,0.8918,0.5351,0.7807,0.0983,0.2467,0.6577,0.1781,26,0.7924,0.8319,0.1984,0.8278,0.7261,0.2906,0.7805,0.2638
2.5071,1.293,0.1872,0.0776,0.8296,72,0.8801,0.833,0.8443,0.5866,0.6686,NA,0.7807,0.6626,0.2648,0.128,0.6449,27,0.7122,2.1953,0.9709,2.305,0.2214,0.7222,0.5346,0.1806,0.3248,1.191,0.7822,0.2104,0.7189,0.0932,0.1437,0.2656,0.2646,0.9712,0.5757,0.9008,word,0.1665,0.2465,0.9786,0.3144,0.8236,0.7925,1.3614
0.1104,0.6641,98,0.5755,0.7813,0.1861,0.7229,0.8161,0.2993,2.3679,0.8877,0.9717,0.2631,0.2032,1.2996,0.5852,0.7814,0.1457,0.7219,0.832,0.2718,0.0807,2.4832,0.6652,0.8422,0.9713,0.263,0.1876,1.3571,0.5336,0.7926,0.1598,0.7187,0.8379,0.3291,0.0915,2.206,0.6566,0.86,0.9781,0.2472,0.2229,1.1812,NA,word,28
0.1186,0.6583,79,0.5764,0.7807,0.1952,0.7198,0.8219,0.2906,2.3183,0.8918,0.9719,0.2638,0.1984,1.3108,0.5868,0.7805,0.1507,0.7274,0.8278,0.2587,0.084,2.4613,0.6661,0.8501,0.971,0.2636,0.1781,1.3609,0.5351,0.7924,0.1694,0.7261,0.8319,0.3272,0.0983,2.2128,0.6577,0.859,0.9787,0.2467,0.2238,1.1926,NA,word,26
0.128,0.6626,72,0.5757,0.7822,0.1872,0.7189,0.8236,0.3144,2.305,0.9008,0.9712,0.2648,0.2104,1.293,0.5866,0.7807,0.1437,0.7222,0.8296,0.2656,0.0776,2.5071,0.6686,0.8443,0.9709,0.2646,0.1806,1.3614,0.5346,0.7925,0.1665,0.7122,0.833,0.3248,0.0932,2.1953,0.6449,0.8801,0.9786,0.2465,0.2214,1.191,NA,word,27
0.1186,0.6583,79,0.5764,0.7807,0.1952,0.7198,0.8219,0.2906,2.3183,0.8918,0.9719,0.2638,0.1984,1.3108,0.5868,0.7805,0.1507,0.7274,0.8278,0.2587,0.084,2.4613,0.6661,0.8501,0.971,0.2636,0.1781,1.3609,0.5351,0.7924,0.1694,0.7261,0.8319,0.3272,0.0983,2.2128,0.6577,0.859,0.9787,0.2467,0.2238,1.1926,NA,word,26
